Source,Target,Type,Id,Label,Weight
50,54,Directed,132,,1
50,59,Directed,133,,1
50,75,Directed,134,,1
50,83,Directed,135,,1
50,90,Directed,136,,1
50,101,Directed,137,,1
50,120,Directed,138,,1
50,130,Directed,139,,1
50,132,Directed,140,,1
50,136,Directed,141,,1
50,140,Directed,142,,1
50,155,Directed,143,,1
50,158,Directed,144,,1
50,184,Directed,145,,1
50,192,Directed,146,,1
50,197,Directed,147,,1
50,213,Directed,148,,1
50,228,Directed,149,,1
50,244,Directed,150,,1
50,245,Directed,151,,1
50,258,Directed,152,,1
50,260,Directed,153,,1
50,266,Directed,154,,1
50,268,Directed,155,,1
50,272,Directed,156,,1
50,303,Directed,157,,1
50,312,Directed,158,,1
50,313,Directed,159,,1
50,318,Directed,160,,1
50,322,Directed,161,,1
50,323,Directed,162,,1
50,330,Directed,163,,1
50,342,Directed,164,,1
50,343,Directed,165,,1
50,344,Directed,166,,1
50,348,Directed,167,,1
50,349,Directed,168,,1
50,354,Directed,169,,1
50,360,Directed,170,,1
50,363,Directed,171,,1
50,368,Directed,172,,1
50,379,Directed,173,,1
50,385,Directed,174,,1
50,389,Directed,175,,1
50,397,Directed,176,,1
50,443,Directed,177,,1
50,447,Directed,178,,1
50,448,Directed,179,,1
50,451,Directed,180,,1
50,453,Directed,181,,1
50,465,Directed,182,,1
50,483,Directed,183,,1
50,487,Directed,184,,1
50,489,Directed,185,,1
50,492,Directed,186,,1
50,497,Directed,187,,1
50,505,Directed,188,,1
50,509,Directed,189,,1
50,511,Directed,190,,1
50,516,Directed,191,,1
50,529,Directed,192,,1
50,535,Directed,193,,1
50,541,Directed,194,,1
50,545,Directed,195,,1
50,583,Directed,196,,1
50,588,Directed,197,,1
50,599,Directed,198,,1
50,604,Directed,199,,1
50,605,Directed,200,,1
50,608,Directed,201,,1
50,615,Directed,202,,1
50,623,Directed,203,,1
50,638,Directed,204,,1
50,665,Directed,205,,1
50,676,Directed,206,,1
50,678,Directed,207,,1
50,705,Directed,208,,1
50,713,Directed,209,,1
50,720,Directed,210,,1
50,727,Directed,211,,1
50,733,Directed,212,,1
50,742,Directed,213,,1
50,748,Directed,214,,1
50,777,Directed,215,,1
50,780,Directed,216,,1
50,792,Directed,217,,1
50,799,Directed,218,,1
50,810,Directed,219,,1
50,812,Directed,220,,1
50,840,Directed,221,,1
50,841,Directed,222,,1
50,852,Directed,223,,1
50,863,Directed,224,,1
50,889,Directed,225,,1
50,902,Directed,226,,1
50,929,Directed,227,,1
50,953,Directed,228,,1
50,964,Directed,229,,1
50,981,Directed,230,,1
50,982,Directed,231,,1
50,983,Directed,232,,1
50,993,Directed,233,,1
50,997,Directed,234,,1
50,1000,Directed,235,,1
50,1014,Directed,236,,1
50,1021,Directed,237,,1
50,1043,Directed,238,,1
50,1047,Directed,239,,1
50,1048,Directed,240,,1
51,56,Directed,241,,1
51,61,Directed,242,,1
51,69,Directed,243,,1
51,85,Directed,244,,1
51,99,Directed,245,,1
51,108,Directed,246,,1
51,116,Directed,247,,1
51,126,Directed,248,,1
51,156,Directed,249,,1
51,161,Directed,250,,1
51,165,Directed,251,,1
51,174,Directed,252,,1
51,177,Directed,253,,1
51,187,Directed,254,,1
51,211,Directed,255,,1
51,219,Directed,256,,1
51,226,Directed,257,,1
51,229,Directed,258,,1
51,231,Directed,259,,1
51,249,Directed,260,,1
51,284,Directed,261,,1
51,326,Directed,262,,1
51,339,Directed,263,,1
51,341,Directed,264,,1
51,367,Directed,265,,1
51,376,Directed,266,,1
51,377,Directed,267,,1
51,388,Directed,268,,1
51,403,Directed,269,,1
51,410,Directed,270,,1
51,412,Directed,271,,1
51,416,Directed,272,,1
51,422,Directed,273,,1
51,446,Directed,274,,1
51,454,Directed,275,,1
51,456,Directed,276,,1
51,465,Directed,277,,1
51,468,Directed,278,,1
51,491,Directed,279,,1
51,509,Directed,280,,1
51,518,Directed,281,,1
51,519,Directed,282,,1
51,538,Directed,283,,1
51,540,Directed,284,,1
51,546,Directed,285,,1
51,559,Directed,286,,1
51,560,Directed,287,,1
51,572,Directed,288,,1
51,594,Directed,289,,1
51,620,Directed,290,,1
51,624,Directed,291,,1
51,625,Directed,292,,1
51,631,Directed,293,,1
51,636,Directed,294,,1
51,648,Directed,295,,1
51,651,Directed,296,,1
51,659,Directed,297,,1
51,665,Directed,298,,1
51,666,Directed,299,,1
51,700,Directed,300,,1
51,716,Directed,301,,1
51,717,Directed,302,,1
51,766,Directed,303,,1
51,779,Directed,304,,1
51,790,Directed,305,,1
51,801,Directed,306,,1
51,802,Directed,307,,1
51,816,Directed,308,,1
51,830,Directed,309,,1
51,834,Directed,310,,1
51,854,Directed,311,,1
51,868,Directed,312,,1
51,871,Directed,313,,1
51,877,Directed,314,,1
51,887,Directed,315,,1
51,892,Directed,316,,1
51,897,Directed,317,,1
51,921,Directed,318,,1
51,933,Directed,319,,1
51,936,Directed,320,,1
51,941,Directed,321,,1
51,960,Directed,322,,1
51,961,Directed,323,,1
51,962,Directed,324,,1
51,963,Directed,325,,1
51,968,Directed,326,,1
51,977,Directed,327,,1
51,980,Directed,328,,1
51,990,Directed,329,,1
52,56,Directed,330,,1
52,77,Directed,331,,1
52,89,Directed,332,,1
52,94,Directed,333,,1
52,114,Directed,334,,1
52,122,Directed,335,,1
52,124,Directed,336,,1
52,131,Directed,337,,1
52,137,Directed,338,,1
52,159,Directed,339,,1
52,166,Directed,340,,1
52,180,Directed,341,,1
52,187,Directed,342,,1
52,200,Directed,343,,1
52,202,Directed,344,,1
52,234,Directed,345,,1
52,242,Directed,346,,1
52,248,Directed,347,,1
52,288,Directed,348,,1
52,299,Directed,349,,1
52,301,Directed,350,,1
52,323,Directed,351,,1
52,328,Directed,352,,1
52,331,Directed,353,,1
52,347,Directed,354,,1
52,349,Directed,355,,1
52,358,Directed,356,,1
52,360,Directed,357,,1
52,363,Directed,358,,1
52,364,Directed,359,,1
52,366,Directed,360,,1
52,377,Directed,361,,1
52,382,Directed,362,,1
52,385,Directed,363,,1
52,390,Directed,364,,1
52,394,Directed,365,,1
52,396,Directed,366,,1
52,411,Directed,367,,1
52,438,Directed,368,,1
52,440,Directed,369,,1
52,451,Directed,370,,1
52,454,Directed,371,,1
52,458,Directed,372,,1
52,459,Directed,373,,1
52,494,Directed,374,,1
